"Date","Open","High","Low","Close","Volume"
"2026-05-25","5950","6175","5925","6100","263179200"
"2026-05-26","6050","6100","5950","5975","225158700"
"2026-05-27","5975","5975","5975","5975","0"
"2026-05-28","5975","5975","5975","5975","0"
"2026-05-29","5750","5875","5700","5700","1014028000"
"2026-06-02","5750","5875","5700","5825","346305200"
"2026-06-03","5775","5825","5525","5525","353332300"
"2026-06-04","5475","5600","5300","5425","550059500"
"2026-06-05","5325","5375","5075","5075","572612000"
"2026-06-08","4950","5050","4850","4850","705093300"
"2026-06-09","4850","5150","4820","5150","772898000"
"2026-06-10","5175","5700","5175","5650","747366000"
"2026-06-11","5650","5875","5550","5825","543032300"
"2026-06-12","6000","6100","5900","5925","415872300"
"2026-06-15","6100","6425","6100","6275","480395000"
"2026-06-17","6400","6550","6275","6275","467494300"
"2026-06-18","6250","6275","6075","6075","232489300"
"2026-06-19","6050","6300","6050","6300","366595500"
"2026-06-22","6400","6400","6125","6225","193401600"
"2026-06-23","6150","6200","6075","6125","144561900"
"2026-06-24","6125","6200","5925","5925","144928800"
"2026-06-25","5900","6175","5900","6025","197935000"
"2026-06-26","6050","6175","6025","6175","163378700"
"2026-06-29","6175","6200","5925","5925","189886600"
"2026-06-30","5775","5825","5550","5550","440738300"
"2026-07-01","5550","5750","5550","5600","124123800"
"2026-07-02","5650","5875","5625","5800","145119400"
"2026-07-03","5925","6150","5900","6050","200465200"
"2026-07-06","6050","6175","5975","6125","148684900"
"2026-07-07","6200","6300","6150","6300","183472100"
"2026-07-08","6300","6325","6175","6175","181123400"
"2026-07-09","6100","6200","6050","6200","181155800"
"2026-07-10","6300","6300","6125","6175","138050500"
"2026-07-13","6150","6250","6075","6225","180061600"
"2026-07-14","6225","6250","6075","6125","159868800"
"2026-07-15","6125","6200","6075","6125","140824900"
"2026-07-16","6125","6225","6100","6225","94235100"
"2026-07-17","6225","6500","6200","6475","314564200"
"2026-07-20","6525","6625","6475","6475","298183300"
"2026-07-21","6550","6550","6425","6525","146064700"
"2026-07-22","6525","6550","6400","6500","112178900"
"2026-07-23","6450","6475","6250","6275","207037900"
"2026-07-24","6200","6300","6125","6275","191428900"
"2026-07-27","6225","6325","6125","6300","125142500"
"2026-07-28","6250","6300","6200","6225","122920300"
"2026-07-29","6175","6300","6175","6275","122379600"
"2026-07-30","6325","6450","6250","6450","152663200"
"2026-07-31","6425","6450","6325","6325","153174800"
"2026-08-03","6300","6325","6275","6300","68143700"
"2026-08-04","6375","6500","6350","6500","138953100"
"2026-08-05","6500","6500","6425","6450","101666100"
"2026-08-06","6450","6475","6350","6350","80734000"
"2026-08-07","6375","6450","6325","6375","111930800"
"2026-08-10","6400","6450","6350","6375","88666100"
"2026-08-11","6375","6400","6200","6300","112490800"
"2026-08-12","6300","6350","6225","6350","87177100"
"2026-08-13","6350","6375","6250","6375","83208000"
"2026-08-14","6300","6350","6275","6350","56953500"
"2026-08-18","6375","6450","6300","6300","114945500"
"2026-08-19","6300","6425","6300","6300","68105000"
"2026-08-20","6350","6400","6300","6400","67749800"
"2026-08-21","6400","6475","6400","6450","100684300"
