"Date","Open","High","Low","Close","Volume"
"2025-08-21","4160","4170","4090","4150","112477700"
"2025-08-22","4170","4170","4100","4100","71971500"
"2025-08-25","4180","4270","4170","4210","195322200"
"2025-08-26","4220","4220","4170","4170","267465600"
"2025-08-27","4130","4150","4070","4130","123874000"
"2025-08-28","4130","4150","4110","4140","60838200"
"2025-08-29","4100","4120","4020","4050","217276600"
"2025-09-01","3930","4010","3860","3980","234206100"
"2025-09-02","3980","4050","3960","3960","111856000"
"2025-09-03","4020","4030","3950","4030","112507500"
"2025-09-04","3980","4010","3960","4000","87402700"
"2025-09-08","4070","4070","3890","3900","143993900"
"2025-09-09","3870","3890","3750","3790","327167200"
"2025-09-10","3820","3890","3820","3880","117680500"
"2025-09-11","4000","4120","3980","4080","281910400"
"2025-09-12","4180","4190","4110","4180","235383800"
"2025-09-15","4200","4220","4120","4140","157482000"
"2025-09-16","4160","4170","4080","4130","167511900"
"2025-09-17","4160","4220","4120","4220","245154800"
"2025-09-18","4270","4270","4210","4250","332670300"
"2025-09-19","4230","4250","4180","4250","211373200"
"2025-09-22","4250","4250","4110","4160","157592800"
"2025-09-23","4120","4170","4110","4140","110771700"
"2025-09-24","4140","4170","4100","4170","124591600"
"2025-09-25","4170","4170","4050","4070","129656800"
"2025-09-26","4050","4080","4000","4040","146229200"
"2025-09-29","4040","4040","3960","3980","126611800"
"2025-09-30","3980","3980","3900","3900","217357100"
"2025-10-01","3860","3940","3800","3810","223133600"
"2025-10-02","3760","3790","3710","3710","379620000"
"2025-10-03","3710","3750","3680","3690","214737100"
"2025-10-06","3700","3740","3640","3660","190283900"
"2025-10-07","3690","3720","3670","3710","155933000"
"2025-10-08","3730","3740","3670","3720","148263700"
"2025-10-09","3690","3930","3640","3860","479239500"
"2025-10-10","3790","3790","3690","3730","277252300"
"2025-10-13","3680","3710","3660","3660","181694400"
"2025-10-14","3640","3690","3550","3550","278639100"
"2025-10-15","3570","3590","3450","3500","468733500"
"2025-10-16","3500","3580","3480","3530","227629500"
"2025-10-17","3530","3570","3490","3500","244442400"
"2025-10-20","3550","3730","3540","3680","391510300"
"2025-10-21","3780","3790","3710","3760","293000200"
"2025-10-22","3790","3820","3680","3700","329470700"
"2025-10-23","3720","3820","3700","3820","225902700"
