"Date","Open","High","Low","Close","Volume"
"2025-08-21","4950","4950","4860","4900","132019200"
"2025-08-22","4920","4920","4870","4890","73104500"
"2025-08-25","4950","4980","4920","4950","149580800"
"2025-08-26","4950","4950","4860","4900","308891700"
"2025-08-27","4840","4880","4800","4800","113576300"
"2025-08-28","4790","4850","4770","4770","111707400"
"2025-08-29","4720","4750","4660","4730","176485100"
"2025-09-01","4550","4670","4460","4600","320335300"
"2025-09-02","4610","4670","4560","4570","150045600"
"2025-09-03","4620","4660","4570","4620","131617900"
"2025-09-04","4630","4680","4620","4680","88735300"
"2025-09-08","4750","4750","4460","4490","200234500"
"2025-09-09","4450","4480","4310","4310","509366600"
"2025-09-10","4360","4420","4350","4400","293494200"
"2025-09-11","4480","4540","4450","4480","366697800"
"2025-09-12","4500","4550","4480","4520","216960200"
"2025-09-15","4550","4640","4520","4530","231346000"
"2025-09-16","4570","4570","4460","4480","122027400"
"2025-09-17","4480","4520","4440","4510","232702500"
"2025-09-18","4540","4550","4420","4420","177560100"
"2025-09-19","4350","4420","4330","4380","235975900"
"2025-09-22","4410","4420","4360","4420","107176100"
"2025-09-23","4390","4430","4370","4410","90675500"
"2025-09-24","4410","4430","4390","4390","85439100"
"2025-09-25","4400","4410","4360","4360","73946900"
"2025-09-26","4350","4430","4350","4420","86572900"
"2025-09-29","4420","4430","4400","4400","63753600"
"2025-09-30","4420","4450","4380","4400","108639600"
"2025-10-01","4360","4400","4350","4380","92265100"
"2025-10-02","4410","4440","4360","4360","93387400"
"2025-10-03","4370","4380","4300","4310","102459100"
"2025-10-06","4320","4330","4260","4260","96040500"
"2025-10-07","4260","4320","4250","4290","100237500"
"2025-10-08","4280","4290","4210","4250","97466800"
"2025-10-09","4240","4450","4200","4390","183242600"
"2025-10-10","4410","4420","4250","4250","139911200"
"2025-10-13","4210","4240","4200","4230","79178600"
"2025-10-14","4220","4270","4090","4090","188507000"
"2025-10-15","4110","4140","4010","4050","270562400"
"2025-10-16","4050","4150","4050","4090","125979600"
"2025-10-17","4110","4110","4030","4050","247510000"
"2025-10-20","4120","4320","4070","4300","331939200"
"2025-10-21","4350","4390","4300","4350","230858900"
"2025-10-22","4350","4460","4290","4330","216261300"
"2025-10-23","4310","4440","4310","4430","202102500"
"2025-10-24","4380","4590","4380","4550","350420300"
"2025-10-27","4590","4600","4410","4470","245576100"
"2025-10-28","4490","4510","4440","4510","174666600"
"2025-10-29","4500","4650","4490","4650","176978800"
"2025-10-30","4670","4830","4650","4800","390256000"
"2025-10-31","4790","4800","4720","4720","227378000"
"2025-11-03","4710","4760","4700","4760","129834200"
"2025-11-04","4760","4790","4720","4730","136412400"
"2025-11-05","4690","4770","4680","4770","102878900"
"2025-11-06","4790","4790","4750","4750","57932600"
"2025-11-07","4750","4780","4740","4750","58845500"
"2025-11-10","4790","4790","4730","4730","88738200"
"2025-11-11","4740","4750","4610","4680","168794500"
"2025-11-12","4680","4790","4680","4760","138539800"
"2025-11-13","4760","4760","4690","4700","108100300"
"2025-11-14","4690","4750","4680","4750","73479600"
"2025-11-17","4780","4850","4770","4820","136477100"
"2025-11-18","4810","4850","4780","4790","127022100"
