"Date","Open","High","Low","Close","Volume"
"2025-08-21","865","885","860","870","12087100"
"2025-08-22","870","875","850","860","9181000"
"2025-08-25","860","870","850","855","12135800"
"2025-08-26","855","925","850","900","78983800"
"2025-08-27","900","935","890","930","42053100"
"2025-08-28","935","970","930","940","55978800"
"2025-08-29","935","935","875","915","51264400"
"2025-09-01","870","910","835","895","30394200"
"2025-09-02","900","920","900","920","20936500"
"2025-09-03","930","1110","915","1075","315481000"
"2025-09-04","1075","1075","1035","1035","91352200"
"2025-09-08","1075","1125","1020","1040","145060700"
"2025-09-09","1040","1160","1040","1090","158377700"
"2025-09-10","1090","1105","1065","1070","39080300"
"2025-09-11","1085","1130","1070","1105","53324500"
"2025-09-12","1110","1180","1105","1135","74268400"
"2025-09-15","1140","1145","1110","1135","33292700"
"2025-09-16","1140","1170","1075","1095","52078200"
"2025-09-17","1095","1180","1095","1105","69371300"
"2025-09-18","1125","1130","1070","1075","29497000"
"2025-09-19","1075","1105","1045","1045","35216800"
"2025-09-22","1050","1075","1040","1055","30216900"
"2025-09-23","1075","1140","1065","1120","63620300"
"2025-09-24","1135","1135","1075","1080","38683600"
"2025-09-25","1080","1100","1055","1070","22369000"
"2025-09-26","1070","1120","1060","1105","30094500"
"2025-09-29","1105","1210","1095","1165","130285000"
"2025-09-30","1180","1190","1125","1130","65547800"
"2025-10-01","1140","1250","1125","1240","138695900"
"2025-10-02","1245","1270","1215","1240","84647500"
"2025-10-03","1240","1245","1175","1190","93266200"
"2025-10-06","1195","1215","1160","1195","55348700"
"2025-10-07","1195","1220","1175","1180","29316400"
"2025-10-08","1180","1375","1150","1305","254659400"
"2025-10-09","1310","1325","1220","1245","81164200"
"2025-10-10","1260","1285","1215","1230","35334300"
"2025-10-13","1210","1260","1180","1250","41337500"
"2025-10-14","1265","1290","1160","1195","63757800"
"2025-10-15","1205","1220","1155","1170","33626400"
"2025-10-16","1180","1205","1175","1190","17418900"
"2025-10-17","1200","1215","1070","1080","80239300"
"2025-10-20","1085","1125","1055","1080","35474800"
"2025-10-21","1090","1145","1080","1130","26144900"
"2025-10-22","1120","1120","1080","1095","21178100"
"2025-10-23","1090","1105","1080","1080","23018800"
"2025-10-24","1110","1110","1085","1085","13628200"
"2025-10-27","1095","1125","1070","1105","30374400"
"2025-10-28","1105","1115","1085","1090","14584300"
"2025-10-29","1095","1175","1095","1175","45259000"
"2025-10-30","1175","1205","1155","1175","33380900"
"2025-10-31","1180","1190","1160","1170","12587100"
"2025-11-03","1120","1130","1100","1110","47976800"
"2025-11-04","1110","1120","1075","1080","26464800"
"2025-11-05","1065","1090","1010","1030","58701600"
"2025-11-06","1030","1055","1030","1035","23278700"
"2025-11-07","1030","1055","1030","1040","12210900"
"2025-11-10","1055","1070","1040","1065","21857100"
"2025-11-11","1080","1080","1050","1070","11273700"
"2025-11-12","1075","1075","1050","1050","8249500"
"2025-11-13","1040","1055","1025","1030","20134900"
"2025-11-14","1030","1030","1005","1010","22042800"
"2025-11-17","1010","1025","1005","1015","10150100"
"2025-11-18","1000","1010","980","980","27270700"
"2025-11-19","980","1000","980","990","10268500"
"2025-11-20","990","1000","980","980","9975700"
"2025-11-21","980","980","955","970","10596800"
"2025-11-24","975","995","975","985","7881400"
"2025-11-25","995","1015","990","1005","12892400"
"2025-11-26","1015","1015","995","1000","9211000"
"2025-11-27","1000","1010","990","995","7779400"
"2025-11-28","995","1015","985","1005","8467600"
"2025-12-01","1000","1065","995","1045","49767200"
"2025-12-02","1050","1075","1040","1040","26642100"
"2025-12-03","1040","1050","1020","1030","9383100"
"2025-12-04","1030","1030","1000","1005","9620200"
"2025-12-05","1005","1015","995","1005","8464700"
"2025-12-08","1005","1040","1005","1040","15407200"
"2025-12-09","1045","1045","1020","1030","10043900"
"2025-12-10","1030","1035","1010","1020","8269200"
"2025-12-11","1025","1030","970","985","29496200"
"2025-12-12","990","1020","985","1005","15923900"
"2025-12-15","1005","1035","990","1000","22373300"
"2025-12-16","1000","1000","990","995","6720200"
"2025-12-17","995","1020","990","1005","11841100"
"2025-12-18","1005","1020","990","1015","11129900"
"2025-12-19","1025","1025","995","1000","8269200"
"2025-12-22","1005","1040","995","1020","17978700"
"2025-12-23","1035","1075","1020","1060","74682800"
"2025-12-24","1075","1100","1030","1035","56035600"
"2025-12-29","1040","1065","1035","1065","23328500"
"2025-12-30","1065","1110","1040","1075","48647800"
"2026-01-02","1100","1130","1080","1095","58407000"
"2026-01-05","1100","1120","1080","1085","50997100"
"2026-01-06","1110","1175","1105","1155","95575700"
"2026-01-07","1180","1250","1180","1200","124046700"
"2026-01-08","1185","1185","1120","1135","54890100"
"2026-01-09","1135","1170","1130","1165","28158100"
"2026-01-12","1190","1205","1100","1155","57955900"
"2026-01-13","1160","1220","1160","1210","87200000"
"2026-01-14","1210","1295","1205","1285","117530800"
"2026-01-15","1315","1335","1225","1230","82332800"
"2026-01-19","1225","1225","1155","1170","69417500"
"2026-01-20","1180","1200","1170","1195","44588600"
"2026-01-21","1190","1190","1135","1185","45156800"
"2026-01-22","1190","1210","1170","1185","39227000"
"2026-01-23","1195","1205","1160","1190","44846300"
"2026-01-26","1220","1315","1215","1240","129708900"
"2026-01-27","1250","1255","1205","1215","36036700"
"2026-01-28","1145","1185","1040","1110","106427700"
"2026-01-29","1080","1090","945","1070","98838900"
"2026-01-30","1070","1105","1030","1055","43129200"
"2026-02-02","1025","1050","955","1010","47845700"
"2026-02-03","1035","1055","975","1040","28284200"
"2026-02-04","1045","1070","1030","1065","17029400"
"2026-02-05","1065","1085","1055","1070","16199900"
"2026-02-06","1035","1045","1000","1005","26789100"
"2026-02-09","1020","1045","990","1035","21223800"
"2026-02-10","1040","1075","1030","1050","26065800"
"2026-02-11","1055","1135","1050","1135","45202500"
"2026-02-12","1140","1175","1100","1105","47511200"
"2026-02-13","1105","1145","1105","1140","22556500"
"2026-02-18","1140","1160","1130","1150","21698100"
"2026-02-19","1160","1250","1160","1240","82961000"
"2026-02-20","1250","1270","1205","1210","37393200"
"2026-02-23","1220","1235","1210","1225","18292600"
"2026-02-24","1230","1245","1200","1200","27967700"
"2026-02-25","1210","1270","1210","1230","45813000"
"2026-02-26","1235","1240","1115","1135","70376100"
"2026-02-27","1135","1170","1085","1165","24573300"
"2026-03-02","1165","1210","1130","1200","43172700"
"2026-03-03","1250","1260","1140","1190","94239800"
"2026-03-04","1195","1200","1090","1105","62209200"
"2026-03-05","1135","1155","1110","1110","20844000"
"2026-03-06","1110","1120","1060","1070","22056700"
"2026-03-09","1020","1035","960","1000","43615200"
"2026-03-10","1040","1080","1015","1075","31376000"
"2026-03-11","1075","1085","1025","1030","17278000"
"2026-03-12","1030","1055","1020","1025","14460500"
"2026-03-13","1020","1020","995","995","20403200"
"2026-03-16","995","995","960","970","18256900"
"2026-03-17","970","1005","970","995","19569500"
"2026-03-25","995","1095","995","1065","26999900"
"2026-03-26","1070","1085","1030","1045","15447800"
"2026-03-27","1050","1065","1035","1035","7766600"
"2026-03-30","1030","1075","1020","1075","13813000"
"2026-03-31","1045","1060","1020","1020","27427200"
"2026-04-01","1050","1050","1010","1020","20417700"
"2026-04-02","1015","1020","990","995","17514300"
"2026-04-06","990","1000","975","985","10971500"
"2026-04-07","990","1000","970","975","10937600"
"2026-04-08","995","1010","990","1005","14123600"
"2026-04-09","1005","1005","980","980","13911700"
"2026-04-10","985","1000","985","990","7663700"
"2026-04-13","995","1000","975","985","11914000"
"2026-04-14","995","1035","995","1030","30853400"
"2026-04-15","1055","1075","1035","1040","42244900"
"2026-04-16","1050","1060","1030","1035","11716800"
"2026-04-17","1030","1055","1030","1040","11846400"
"2026-04-20","1040","1040","1015","1015","12175700"
"2026-04-21","1015","1025","1000","1015","10887700"
"2026-04-22","1015","1030","1005","1015","8912000"
"2026-04-23","1015","1020","1000","1000","10162100"
"2026-04-24","1000","1005","970","980","19629500"
"2026-04-27","985","1005","985","995","6800000"
"2026-04-28","1010","1020","995","1005","8021600"
"2026-04-29","1015","1020","1005","1010","7369300"
"2026-04-30","1010","1015","985","995","17830900"
"2026-05-04","1000","1010","990","990","6315100"
