"Date","Open","High","Low","Close","Volume"
"2025-08-21","9600","9700","9550","9550","3901000"
"2025-08-22","9600","9675","9550","9575","3331700"
"2025-08-25","9575","9625","9500","9500","5199200"
"2025-08-26","9500","9575","9375","9375","9031900"
"2025-08-27","9375","9425","9325","9325","3413900"
"2025-08-28","9325","9450","9275","9300","4029300"
"2025-08-29","9250","9275","8975","8975","12958600"
"2025-09-01","8800","9275","8650","9200","5969700"
"2025-09-02","9225","9325","9200","9200","3319500"
"2025-09-03","9225","9300","9200","9300","2439300"
"2025-09-04","9300","9300","9200","9250","2740200"
"2025-09-08","9300","9475","9275","9375","8124700"
"2025-09-09","9325","9325","9100","9225","4218400"
"2025-09-10","9225","9225","9150","9225","2211300"
"2025-09-11","9225","9400","9200","9300","4876500"
"2025-09-12","9300","9400","9175","9250","4228300"
"2025-09-15","9250","9325","9150","9225","3520100"
"2025-09-16","9250","9325","9200","9300","2267100"
"2025-09-17","9275","9500","9250","9500","3034300"
"2025-09-18","9500","9525","9425","9425","2855900"
"2025-09-19","9425","9700","9425","9700","6110200"
"2025-09-22","9700","9825","9500","9625","4473300"
"2025-09-23","9700","9700","9600","9700","1955400"
"2025-09-24","9700","9725","9550","9550","5779000"
"2025-09-25","9625","9800","9600","9800","6445600"
"2025-09-26","9800","10050","9675","10000","8532100"
"2025-09-29","10025","10050","9650","9650","6132900"
"2025-09-30","9650","9750","9475","9475","6069800"
"2025-10-01","9550","9625","9300","9325","3535600"
"2025-10-02","9425","9625","9400","9500","2820900"
"2025-10-03","9525","9575","9400","9550","2598800"
"2025-10-06","9550","9550","9400","9500","2234600"
"2025-10-07","9475","9475","9200","9200","4053100"
"2025-10-08","9200","9375","9150","9200","3003600"
"2025-10-09","9200","9325","9075","9100","7056400"
"2025-10-10","9150","9175","8850","8850","11183000"
"2025-10-13","8850","8925","8800","8800","4920500"
"2025-10-14","8900","8900","8475","8475","10863600"
"2025-10-15","8500","8750","8425","8675","9029700"
"2025-10-16","8700","9300","8650","9250","10168600"
"2025-10-17","9300","9400","9025","9400","8398300"
"2025-10-20","9425","9550","9275","9375","7951500"
"2025-10-21","9500","9500","9225","9275","3346700"
"2025-10-22","9300","9325","8900","8900","7695400"
"2025-10-23","8900","8950","8725","8825","14457700"
"2025-10-24","8850","8950","8800","8800","7447900"
"2025-10-27","8800","8975","8750","8850","8921900"
"2025-10-28","8875","8925","8700","8775","12338900"
"2025-10-29","8800","8825","8650","8700","16526500"
"2025-10-30","8700","8875","8700","8800","13885200"
"2025-10-31","8800","8850","8700","8700","9693500"
"2025-11-03","8700","8700","8500","8500","14837200"
"2025-11-04","8500","8600","8475","8475","14071000"
"2025-11-05","8500","8700","8475","8700","7693000"
"2025-11-06","8650","8675","8550","8575","15202700"
"2025-11-07","8550","8650","8550","8600","5446000"
"2025-11-10","8700","8725","8600","8650","6371300"
"2025-11-11","8725","8725","8525","8550","9738300"
"2025-11-12","8550","8675","8525","8525","7459700"
"2025-11-13","8525","8600","8475","8475","9366500"
"2025-11-14","8500","8550","8425","8425","9077300"
"2025-11-17","8500","8700","8325","8375","21504300"
"2025-11-18","8375","8475","8325","8325","14213100"
"2025-11-19","8325","8525","8325","8400","20237100"
"2025-11-20","8500","8525","8325","8325","15336300"
"2025-11-21","8350","8400","8325","8350","9262700"
"2025-11-24","8350","8450","8200","8350","176275900"
"2025-11-25","8450","8600","8450","8575","36155100"
"2025-11-26","8625","8650","8525","8600","19741000"
"2025-11-27","8600","8625","8500","8550","17082500"
"2025-11-28","8575","8600","8425","8450","8785500"
"2025-12-01","8425","8475","8400","8400","5346900"
"2025-12-02","8400","8425","8050","8100","43427600"
"2025-12-03","8100","8200","8100","8125","10525100"
"2025-12-04","8225","8250","8100","8200","13673600"
"2025-12-05","8200","8200","8050","8050","16859700"
"2025-12-08","8100","8200","8075","8075","11661200"
"2025-12-09","8100","8125","8000","8000","16634200"
"2025-12-10","8000","8075","8000","8025","8871000"
"2025-12-11","8050","8150","7950","8025","10206100"
"2025-12-12","8100","8100","7975","8075","8185400"
"2025-12-15","8225","8375","8075","8300","15671200"
"2025-12-16","8325","8400","8225","8350","17355800"
"2025-12-17","8350","8400","8300","8325","5997500"
"2025-12-18","8325","8400","8200","8250","6171700"
"2025-12-19","8250","8425","8225","8425","11114100"
"2025-12-22","8400","8400","8275","8350","6241200"
"2025-12-23","8350","8350","8225","8250","4615400"
"2025-12-24","8200","8275","8200","8250","1899500"
"2025-12-29","8250","8325","8125","8300","6435900"
"2025-12-30","8250","8325","8175","8200","3807000"
"2026-01-02","8200","8225","8075","8075","4906200"
"2026-01-05","8100","8150","8000","8100","6465500"
"2026-01-06","8100","8175","8075","8100","6207700"
"2026-01-07","8100","8125","8000","8050","9501900"
"2026-01-08","8050","8125","8025","8025","10684500"
"2026-01-09","8050","8075","8000","8000","5016300"
"2026-01-12","8000","8025","7900","7900","10239900"
"2026-01-13","7925","8000","7925","7975","3957300"
"2026-01-14","7975","8050","7950","7950","5323700"
"2026-01-15","8000","8100","7975","8050","5660000"
"2026-01-19","8050","8150","8025","8100","9458500"
"2026-01-20","8100","8200","8100","8125","4869500"
"2026-01-21","8125","8150","8025","8100","9619600"
"2026-01-22","8150","8400","8075","8325","13969100"
"2026-01-23","8325","8350","8175","8275","11745000"
"2026-01-26","8275","8450","8175","8400","11911100"
"2026-01-27","8400","8400","8125","8225","8344200"
"2026-01-28","8150","8150","7675","7775","21932000"
"2026-01-29","7700","7775","7225","7675","29324800"
"2026-01-30","7675","8125","7675","7950","18174200"
"2026-02-02","8075","8375","8025","8375","19372900"
"2026-02-03","8350","8600","8225","8575","17576700"
"2026-02-04","8575","8575","8300","8300","9948300"
"2026-02-05","8300","8500","8300","8300","7338300"
"2026-02-06","8250","8275","8000","8075","10290000"
"2026-02-09","8075","8175","7875","8075","13201700"
"2026-02-10","8125","8200","8100","8125","4255800"
"2026-02-11","8150","8250","8125","8175","4709900"
"2026-02-12","8200","8250","8125","8200","2880200"
"2026-02-13","8200","8225","8075","8200","7720000"
"2026-02-18","8225","8250","8150","8200","4370200"
"2026-02-19","8200","8275","8100","8125","7449100"
"2026-02-20","8200","8225","8000","8025","12383500"
"2026-02-23","8050","8175","8050","8150","6422300"
"2026-02-24","8150","8175","7950","7950","13392800"
"2026-02-25","8000","8075","7975","8025","4880000"
"2026-02-26","8025","8100","7875","7900","11033700"
"2026-02-27","7950","8025","7850","7850","7916500"
"2026-03-02","7800","7825","7550","7600","13451700"
