"Date","Open","High","Low","Close","Volume"
"2025-08-21","7950","7975","7925","7925","3961700"
"2025-08-22","7975","8000","7850","7850","4607300"
"2025-08-25","7850","7900","7700","7700","9881300"
"2025-08-26","7700","7800","7625","7800","15558500"
"2025-08-27","7725","7725","7575","7600","12730200"
"2025-08-28","7600","7650","7550","7600","12993000"
"2025-08-29","7550","7600","7450","7450","10405300"
"2025-09-01","7100","7450","7075","7400","10597600"
"2025-09-02","7425","7600","7425","7500","5774100"
"2025-09-03","7525","7750","7525","7700","9930600"
"2025-09-04","7700","7700","7525","7525","4236900"
"2025-09-08","7525","7575","7400","7425","8650500"
"2025-09-09","7400","7425","7350","7350","8540500"
"2025-09-10","7375","7475","7300","7425","9453600"
"2025-09-11","7475","7525","7450","7475","5294000"
"2025-09-12","7500","7575","7450","7550","4229700"
"2025-09-15","7600","7650","7550","7650","3733700"
"2025-09-16","7700","7700","7625","7650","3203500"
"2025-09-17","7650","7800","7650","7775","5049900"
"2025-09-18","7775","7775","7600","7650","4903700"
"2025-09-19","7700","7875","7650","7825","9938400"
"2025-09-22","7825","7850","7750","7850","6114900"
"2025-09-23","7850","7875","7750","7775","4161400"
"2025-09-24","7800","7950","7750","7875","9415800"
"2025-09-25","7900","7925","7725","7750","8761000"
"2025-09-26","7800","7825","7650","7650","8003900"
"2025-09-29","7700","7725","7525","7575","6642100"
"2025-09-30","7575","7625","7225","7225","15147300"
"2025-10-01","7275","7350","7075","7100","11257700"
"2025-10-02","7125","7150","7000","7025","9613900"
"2025-10-03","7025","7175","7025","7150","6066500"
"2025-10-06","7200","7200","7025","7100","5279100"
"2025-10-07","7125","7250","7100","7225","7673100"
"2025-10-08","7300","7300","7225","7250","7314000"
"2025-10-09","7275","7275","7050","7150","11257300"
"2025-10-10","7150","7275","7100","7200","10190700"
"2025-10-13","7100","7250","7025","7200","5518800"
"2025-10-14","7250","7250","7050","7050","4104000"
"2025-10-15","7050","7100","6875","6900","8979000"
"2025-10-16","6900","7225","6850","7075","13547200"
"2025-10-17","7150","7200","7075","7125","6505800"
"2025-10-20","7125","7300","7125","7250","10833500"
"2025-10-21","7325","7325","7175","7275","4968000"
"2025-10-22","7225","7375","7175","7175","8148100"
"2025-10-23","7100","7425","7100","7375","6107200"
"2025-10-24","7400","7425","7300","7300","7664600"
"2025-10-27","7300","7450","7300","7450","12897100"
"2025-10-28","7500","7575","7425","7500","8341000"
"2025-10-29","7450","7450","7325","7425","5612700"
"2025-10-30","7400","7500","7375","7400","10517900"
"2025-10-31","7400","7450","7275","7400","11495400"
"2025-11-03","7400","7425","7200","7200","7609300"
"2025-11-04","7200","7250","7050","7075","18602600"
"2025-11-05","7075","7150","7025","7125","10041400"
"2025-11-06","7125","7125","7025","7025","8261500"
"2025-11-07","7075","7150","7050","7125","4622900"
"2025-11-10","7150","7175","7100","7100","5129400"
"2025-11-11","7150","7150","7025","7050","4661800"
"2025-11-12","7050","7175","7050","7175","5851900"
"2025-11-13","7150","7250","7100","7150","8371600"
"2025-11-14","7150","7175","7100","7100","5161800"
"2025-11-17","7100","7150","7075","7100","4245000"
"2025-11-18","7100","7125","7000","7000","7331100"
"2025-11-19","7025","7050","7000","7025","5448800"
"2025-11-20","7025","7175","7025","7075","8110900"
"2025-11-21","7050","7125","7025","7125","7423400"
"2025-11-24","7150","7450","7100","7450","18591600"
"2025-11-25","7325","7350","7175","7250","7894800"
"2025-11-26","7250","7425","7225","7425","7662600"
"2025-11-27","7425","7425","7275","7375","4580000"
"2025-11-28","7350","7400","7300","7350","4591700"
"2025-12-01","7225","7425","7225","7350","4108900"
"2025-12-02","7375","7450","7200","7200","7221100"
"2025-12-03","7200","7275","7050","7050","9217900"
"2025-12-04","7050","7100","7025","7025","4479400"
"2025-12-05","7050","7125","7000","7100","8852600"
"2025-12-08","7150","7150","6975","6975","8844700"
"2025-12-09","6975","7000","6850","6850","12610800"
"2025-12-10","6900","6950","6900","6900","3688400"
"2025-12-11","6900","6950","6550","6575","35995900"
