"Date","Open","High","Low","Close","Volume"
"2025-08-21","4120","4190","3960","4090","57250100"
"2025-08-22","4100","4120","4050","4050","26128400"
"2025-08-25","4070","4100","3960","4000","37128300"
"2025-08-26","4000","4010","3910","4010","104270500"
"2025-08-27","3970","4090","3950","3960","52837100"
"2025-08-28","4000","4020","3880","3910","39927800"
"2025-08-29","3800","3850","3600","3790","117258100"
"2025-09-01","3540","3800","3520","3700","76104800"
"2025-09-02","3740","3800","3730","3750","25294900"
"2025-09-03","3800","3820","3700","3700","16986200"
"2025-09-04","3700","3760","3680","3690","22053000"
"2025-09-08","3690","3710","3520","3520","35700800"
"2025-09-09","3500","3620","3370","3470","50194600"
"2025-09-10","3510","3530","3460","3480","21712400"
"2025-09-11","3480","3780","3480","3720","70476300"
"2025-09-12","3750","3920","3750","3870","74013200"
"2025-09-15","3890","4150","3880","4110","103303000"
"2025-09-16","4160","4230","4120","4190","83638300"
"2025-09-17","4200","4550","4200","4490","194431700"
"2025-09-18","4540","5250","4540","5150","220682400"
"2025-09-19","5175","5675","4970","5300","174129400"
"2025-09-22","5400","5600","5300","5475","96555800"
"2025-09-23","5675","6425","5450","6175","130532300"
"2025-09-24","6000","6975","5950","6475","210347400"
"2025-09-25","6475","6725","6100","6175","100440300"
"2025-09-26","6200","6800","6200","6650","72286500"
"2025-09-29","6850","7350","6750","6850","103372900"
"2025-09-30","6925","7025","6550","6775","61096100"
"2025-10-01","6800","6900","6600","6625","35053600"
"2025-10-02","6650","6950","6500","6750","40690300"
"2025-10-03","6750","7275","6750","7150","72184000"
"2025-10-07","7375","7650","7200","7275","130531200"
"2025-10-08","7375","7425","6750","7325","63677700"
"2025-10-09","7400","7500","6800","7075","52779900"
"2025-10-10","7100","7200","6900","7075","47718600"
"2025-10-13","6950","7325","6900","7050","60714900"
"2025-10-14","7250","7325","6000","6700","122711400"
"2025-10-15","6700","7075","6350","6700","73494000"
"2025-10-16","6900","7150","6825","7000","53577100"
"2025-10-17","7075","7100","6575","6650","80748000"
"2025-10-20","6900","7100","6700","6775","54061800"
"2025-10-21","6775","7100","6775","6875","45997300"
"2025-10-22","7075","7500","6800","7500","137188300"
"2025-10-23","7600","7750","7150","7250","104234900"
"2025-10-24","7250","7550","7125","7150","48095000"
"2025-10-27","7225","7375","6100","6475","357028400"
"2025-10-28","6575","6800","6175","6550","92052500"
"2025-10-29","6600","6950","6575","6950","54041600"
"2025-10-30","7000","7050","6800","6800","28305600"
"2025-10-31","6850","6950","6700","6800","26655800"
"2025-11-03","6800","7375","6800","7300","69127700"
"2025-11-04","7400","7750","7200","7300","139908200"
"2025-11-05","7250","7600","7125","7600","76693400"
"2025-11-06","8050","8125","7675","7925","118597100"
"2025-11-07","7950","8725","7900","8550","114080900"
"2025-11-10","8650","9050","8550","8800","80167200"
"2025-11-11","8800","8875","8500","8700","40530800"
"2025-11-12","8750","9075","8625","8800","43347600"
"2025-11-13","8950","9250","8825","9100","50682900"
"2025-11-14","9125","9250","8975","9025","28722300"
"2025-11-17","9025","9225","8925","9075","21574700"
"2025-11-18","9075","9075","8700","8750","32629100"
"2025-11-19","8750","9125","8750","8925","32515000"
"2025-11-20","8950","9075","8925","8950","14593300"
"2025-11-21","8925","8950","8800","8950","16033600"
"2025-11-24","9050","9825","8975","9825","103815300"
"2025-11-25","9825","10050","9525","9750","54413200"
"2025-11-26","9825","10050","9775","9825","37582500"
"2025-11-27","9950","10125","9900","9950","33059700"
"2025-11-28","9900","10050","9650","10000","40149800"
"2025-12-01","10100","10150","9925","10025","27897700"
"2025-12-02","10050","10500","10050","10225","43719200"
"2025-12-03","10275","10500","10225","10325","20071500"
"2025-12-04","10375","10450","10200","10375","18895000"
"2025-12-05","10375","10875","10375","10750","34024300"
"2025-12-08","10800","10850","10600","10775","25780300"
"2025-12-09","10775","10825","10100","10400","41691000"
"2025-12-10","10400","10500","10000","10025","37439900"
"2025-12-11","10500","11150","10250","11025","89726100"
"2025-12-12","11000","11250","10800","10950","28659500"
"2025-12-15","10925","11000","10225","10500","39582400"
"2025-12-16","10500","10775","10425","10725","15948300"
"2025-12-17","10775","10975","10650","10850","29059500"
"2025-12-18","10925","11225","10500","10850","52667900"
"2025-12-19","10900","10975","10650","10775","16957400"
"2025-12-22","10775","10850","10625","10700","10485300"
"2025-12-23","10700","10725","10475","10475","17254700"
"2025-12-24","10425","10650","10150","10450","37645200"
"2025-12-29","10500","10875","10500","10800","16662400"
"2025-12-30","10800","11100","10700","10925","28915600"
