"Date","Open","High","Low","Close","Volume"
"2025-08-21","3210","3270","3210","3250","63861900"
"2025-08-22","3270","3290","3220","3240","61351700"
"2025-08-25","3280","3350","3250","3310","93221500"
"2025-08-26","3310","3320","3230","3260","227364800"
"2025-08-27","3200","3250","3100","3170","118158900"
"2025-08-28","3160","3220","3150","3180","55940600"
"2025-08-29","3180","3210","3100","3130","72585500"
"2025-09-01","3080","3110","2960","3110","130027900"
"2025-09-02","3120","3140","3050","3070","64402900"
"2025-09-03","3080","3170","3070","3110","113875700"
"2025-09-04","3090","3170","3090","3150","37223800"
"2025-09-08","3300","3300","3090","3090","93725000"
"2025-09-09","3100","3130","3000","3050","104463400"
"2025-09-10","3070","3180","3050","3150","49840200"
"2025-09-11","3180","3190","3070","3080","71919900"
"2025-09-12","3090","3110","3050","3100","61521400"
"2025-09-15","3150","3260","3130","3260","115361300"
"2025-09-16","3300","3300","3260","3300","80642900"
"2025-09-17","3300","3340","3210","3340","73539700"
"2025-09-18","3400","3400","3230","3250","99501600"
"2025-09-19","3210","3300","3160","3230","113834400"
"2025-09-22","3300","3300","3190","3220","53704700"
"2025-09-23","3240","3260","3130","3190","40100300"
"2025-09-24","3190","3190","3150","3160","37086500"
"2025-09-25","3160","3200","3110","3120","37627500"
"2025-09-26","3100","3160","3090","3110","66789300"
"2025-09-29","3110","3130","3050","3080","85911300"
"2025-09-30","3090","3140","3060","3060","117025800"
"2025-10-01","3060","3100","3060","3060","59779700"
"2025-10-02","3070","3200","3060","3130","113431700"
"2025-10-03","3110","3130","3050","3070","59116700"
"2025-10-06","3080","3090","2960","3010","59707600"
"2025-10-07","3030","3050","3000","3010","30353000"
"2025-10-08","3030","3040","2940","2990","66090700"
"2025-10-09","2950","3020","2950","3010","54769300"
"2025-10-10","3030","3080","3000","3040","62254500"
"2025-10-13","3020","3070","2980","3020","46978500"
"2025-10-14","3050","3070","2960","2960","38518800"
"2025-10-15","3000","3090","2950","3080","67503700"
"2025-10-16","2970","3020","2900","2950","103687000"
"2025-10-17","2950","2960","2850","2880","82482200"
"2025-10-20","2930","2970","2900","2940","96029300"
"2025-10-21","2970","3290","2970","3280","223104600"
"2025-10-22","3220","3220","3120","3150","128796800"
"2025-10-23","3180","3400","3170","3360","218967200"
"2025-10-24","3370","3440","3290","3290","115104000"
"2025-10-27","3320","3360","3280","3330","105683900"
"2025-10-28","3330","3480","3270","3400","143082100"
"2025-10-29","3390","3390","3270","3290","93073800"
"2025-10-30","3290","3310","3200","3250","83523100"
"2025-10-31","3200","3250","3150","3210","126790400"
"2025-11-03","3210","3380","3210","3350","107151300"
"2025-11-04","3360","3590","3360","3500","227450800"
"2025-11-05","3600","3630","3510","3540","182624300"
"2025-11-06","3540","3550","3470","3480","71766000"
"2025-11-07","3460","3490","3420","3470","58917900"
"2025-11-10","3490","3550","3440","3440","88941900"
"2025-11-11","3500","3530","3470","3520","63130300"
"2025-11-12","3540","3590","3510","3560","61339600"
"2025-11-13","3570","3570","3480","3500","57467900"
"2025-11-14","3530","3560","3510","3550","55079600"
"2025-11-17","3570","3630","3560","3610","76833800"
"2025-11-18","3610","3630","3540","3620","97747000"
"2025-11-19","3620","3690","3620","3650","109911100"
"2025-11-20","3650","3660","3620","3640","52200700"
"2025-11-21","3590","3610","3460","3500","93181600"
"2025-11-24","3560","3700","3540","3700","241304000"
"2025-11-25","3690","3690","3560","3650","84816600"
"2025-11-26","3600","3720","3600","3720","111114600"
"2025-11-27","3700","3700","3560","3570","48436500"
"2025-11-28","3600","3630","3500","3510","70943000"
"2025-12-01","3530","3650","3520","3650","89045500"
"2025-12-02","3660","3670","3560","3560","62155900"
"2025-12-03","3590","3650","3580","3580","60429900"
"2025-12-04","3660","3660","3580","3630","38947500"
"2025-12-05","3630","3700","3610","3700","50641400"
"2025-12-08","3700","3700","3600","3630","64911000"
"2025-12-09","3650","3650","3520","3570","94381800"
"2025-12-10","3620","3700","3590","3640","68644900"
"2025-12-11","3670","3690","3500","3570","84823100"
"2025-12-12","3630","3630","3500","3550","67076200"
"2025-12-15","3550","3560","3460","3470","121707400"
"2025-12-16","3490","3550","3470","3520","120576700"
"2025-12-17","3540","3590","3490","3500","118452300"
"2025-12-18","3540","3580","3460","3460","111042200"
"2025-12-19","3520","3520","3390","3410","236770700"
"2025-12-22","3440","3490","3420","3470","113720300"
"2025-12-23","3470","3470","3420","3470","39083700"
"2025-12-24","3480","3500","3440","3460","30919800"
"2025-12-29","3480","3530","3460","3490","53079900"
"2025-12-30","3490","3510","3480","3480","48019100"
"2026-01-02","3510","3510","3450","3470","34812500"
"2026-01-05","3490","3590","3480","3580","77224000"
"2026-01-06","3600","3600","3490","3520","77477100"
