Date,Open,High,Low,Close,Volume
2025-08-25,9575.0,9625.0,9500.0,9500.0,5199200
2025-08-26,9500.0,9575.0,9375.0,9375.0,9031900
2025-08-27,9375.0,9425.0,9325.0,9325.0,3413900
2025-08-28,9325.0,9450.0,9275.0,9300.0,4029300
2025-08-29,9250.0,9275.0,8975.0,8975.0,12958600
2025-09-01,8800.0,9275.0,8650.0,9200.0,5969700
2025-09-02,9225.0,9325.0,9200.0,9200.0,3319500
2025-09-03,9225.0,9300.0,9200.0,9300.0,2439300
2025-09-04,9300.0,9300.0,9200.0,9250.0,2740200
2025-09-08,9300.0,9475.0,9275.0,9375.0,8124700
2025-09-09,9325.0,9325.0,9100.0,9225.0,4218400
2025-09-10,9225.0,9225.0,9150.0,9225.0,2211300
2025-09-11,9225.0,9400.0,9200.0,9300.0,4876500
2025-09-12,9300.0,9400.0,9175.0,9250.0,4228300
2025-09-15,9250.0,9325.0,9150.0,9225.0,3520100
2025-09-16,9250.0,9325.0,9200.0,9300.0,2267100
2025-09-17,9275.0,9500.0,9250.0,9500.0,3034300
2025-09-18,9500.0,9525.0,9425.0,9425.0,2855900
2025-09-19,9425.0,9700.0,9425.0,9700.0,6110200
2025-09-22,9700.0,9825.0,9500.0,9625.0,4473300
2025-09-23,9700.0,9700.0,9600.0,9700.0,1955400
2025-09-24,9700.0,9725.0,9550.0,9550.0,5779000
2025-09-25,9625.0,9800.0,9600.0,9800.0,6445600
2025-09-26,9800.0,10050.0,9675.0,10000.0,8532100
2025-09-29,10025.0,10050.0,9650.0,9650.0,6132900
2025-09-30,9650.0,9750.0,9475.0,9475.0,6069800
2025-10-01,9550.0,9625.0,9300.0,9325.0,3535600
2025-10-02,9425.0,9625.0,9400.0,9500.0,2820900
2025-10-03,9525.0,9575.0,9400.0,9550.0,2598800
2025-10-06,9550.0,9550.0,9400.0,9500.0,2234600
2025-10-07,9475.0,9475.0,9200.0,9200.0,4053100
2025-10-08,9200.0,9375.0,9150.0,9200.0,3003600
2025-10-09,9200.0,9325.0,9075.0,9100.0,7056400
2025-10-10,9150.0,9175.0,8850.0,8850.0,11183000
2025-10-13,8850.0,8925.0,8800.0,8800.0,4920500
2025-10-14,8900.0,8900.0,8475.0,8475.0,10863600
2025-10-15,8500.0,8750.0,8425.0,8675.0,9029700
2025-10-16,8700.0,9300.0,8650.0,9250.0,10168600
2025-10-17,9300.0,9400.0,9025.0,9400.0,8398300
2025-10-20,9425.0,9550.0,9275.0,9375.0,7951500
2025-10-21,9500.0,9500.0,9225.0,9275.0,3346700
2025-10-22,9300.0,9325.0,8900.0,8900.0,7695400
2025-10-23,8900.0,8950.0,8725.0,8825.0,14457700
2025-10-24,8850.0,8950.0,8800.0,8800.0,7447900
2025-10-27,8800.0,8975.0,8750.0,8850.0,8921900
2025-10-28,8875.0,8925.0,8700.0,8775.0,12338900
2025-10-29,8800.0,8825.0,8650.0,8700.0,16526500
2025-10-30,8700.0,8875.0,8700.0,8800.0,13885200
2025-10-31,8800.0,8850.0,8700.0,8700.0,9693500
2025-11-03,8700.0,8700.0,8500.0,8500.0,14837200
2025-11-04,8500.0,8600.0,8475.0,8475.0,14071000
2025-11-05,8500.0,8700.0,8475.0,8700.0,7693000
2025-11-06,8650.0,8675.0,8550.0,8575.0,15202700
2025-11-07,8550.0,8650.0,8550.0,8600.0,5446000
2025-11-10,8700.0,8725.0,8600.0,8650.0,6371300
2025-11-11,8725.0,8725.0,8525.0,8550.0,9738300
2025-11-12,8550.0,8675.0,8525.0,8525.0,7459700
2025-11-13,8525.0,8600.0,8475.0,8475.0,9366500
2025-11-14,8500.0,8550.0,8425.0,8425.0,9077300
2025-11-17,8500.0,8700.0,8325.0,8375.0,21504300
2025-11-18,8375.0,8475.0,8325.0,8325.0,14213100
2025-11-19,8325.0,8525.0,8325.0,8400.0,20237100
2025-11-20,8500.0,8525.0,8325.0,8325.0,15336300
2025-11-21,8350.0,8400.0,8325.0,8350.0,9262700
2025-11-24,8350.0,8450.0,8200.0,8350.0,176275900
2025-11-25,8450.0,8600.0,8450.0,8575.0,36155100
2025-11-26,8625.0,8650.0,8525.0,8600.0,19741000
2025-11-27,8600.0,8625.0,8500.0,8550.0,17082500
2025-11-28,8575.0,8600.0,8425.0,8450.0,8785500
2025-12-01,8425.0,8475.0,8400.0,8400.0,5346900
2025-12-02,8400.0,8425.0,8050.0,8100.0,43427600
2025-12-03,8100.0,8200.0,8100.0,8125.0,10525100
2025-12-04,8225.0,8250.0,8100.0,8200.0,13673600
2025-12-05,8200.0,8200.0,8050.0,8050.0,16859700
2025-12-08,8100.0,8200.0,8075.0,8075.0,11661200
2025-12-09,8100.0,8125.0,8000.0,8000.0,16634200
2025-12-10,8000.0,8075.0,8000.0,8025.0,8871000
2025-12-11,8050.0,8150.0,7950.0,8025.0,10206100
2025-12-12,8100.0,8100.0,7975.0,8075.0,8185400
2025-12-15,8225.0,8375.0,8075.0,8300.0,15671200
2025-12-16,8325.0,8400.0,8225.0,8350.0,17355800
2025-12-17,8350.0,8400.0,8300.0,8325.0,5997500
2025-12-18,8325.0,8400.0,8200.0,8250.0,6171700
2025-12-19,8250.0,8425.0,8225.0,8425.0,11114100
