Date,Open,High,Low,Close,Volume
2025-08-25,7850.0,7900.0,7700.0,7700.0,9881300
2025-08-26,7700.0,7800.0,7625.0,7800.0,15558500
2025-08-27,7725.0,7725.0,7575.0,7600.0,12730200
2025-08-28,7600.0,7650.0,7550.0,7600.0,12993000
2025-08-29,7550.0,7600.0,7450.0,7450.0,10405300
2025-09-01,7100.0,7450.0,7075.0,7400.0,10597600
2025-09-02,7425.0,7600.0,7425.0,7500.0,5774100
2025-09-03,7525.0,7750.0,7525.0,7700.0,9930600
2025-09-04,7700.0,7700.0,7525.0,7525.0,4236900
2025-09-08,7525.0,7575.0,7400.0,7425.0,8650500
2025-09-09,7400.0,7425.0,7350.0,7350.0,8540500
2025-09-10,7375.0,7475.0,7300.0,7425.0,9453600
2025-09-11,7475.0,7525.0,7450.0,7475.0,5294000
2025-09-12,7500.0,7575.0,7450.0,7550.0,4229700
2025-09-15,7600.0,7650.0,7550.0,7650.0,3733700
2025-09-16,7700.0,7700.0,7625.0,7650.0,3203500
2025-09-17,7650.0,7800.0,7650.0,7775.0,5049900
2025-09-18,7775.0,7775.0,7600.0,7650.0,4903700
2025-09-19,7700.0,7875.0,7650.0,7825.0,9938400
2025-09-22,7825.0,7850.0,7750.0,7850.0,6114900
2025-09-23,7850.0,7875.0,7750.0,7775.0,4161400
2025-09-24,7800.0,7950.0,7750.0,7875.0,9415800
2025-09-25,7900.0,7925.0,7725.0,7750.0,8761000
2025-09-26,7800.0,7825.0,7650.0,7650.0,8003900
2025-09-29,7700.0,7725.0,7525.0,7575.0,6642100
2025-09-30,7575.0,7625.0,7225.0,7225.0,15147300
2025-10-01,7275.0,7350.0,7075.0,7100.0,11257700
2025-10-02,7125.0,7150.0,7000.0,7025.0,9613900
2025-10-03,7025.0,7175.0,7025.0,7150.0,6066500
2025-10-06,7200.0,7200.0,7025.0,7100.0,5279100
2025-10-07,7125.0,7250.0,7100.0,7225.0,7673100
2025-10-08,7300.0,7300.0,7225.0,7250.0,7314000
2025-10-09,7275.0,7275.0,7050.0,7150.0,11257300
2025-10-10,7150.0,7275.0,7100.0,7200.0,10190700
2025-10-13,7100.0,7250.0,7025.0,7200.0,5518800
2025-10-14,7250.0,7250.0,7050.0,7050.0,4104000
2025-10-15,7050.0,7100.0,6875.0,6900.0,8979000
2025-10-16,6900.0,7225.0,6850.0,7075.0,13547200
2025-10-17,7150.0,7200.0,7075.0,7125.0,6505800
2025-10-20,7125.0,7300.0,7125.0,7250.0,10833500
2025-10-21,7325.0,7325.0,7175.0,7275.0,4968000
2025-10-22,7225.0,7375.0,7175.0,7175.0,8148100
2025-10-23,7100.0,7425.0,7100.0,7375.0,6107200
2025-10-24,7400.0,7425.0,7300.0,7300.0,7664600
2025-10-27,7300.0,7450.0,7300.0,7450.0,12897100
2025-10-28,7500.0,7575.0,7425.0,7500.0,8341000
2025-10-29,7450.0,7450.0,7325.0,7425.0,5612700
2025-10-30,7400.0,7500.0,7375.0,7400.0,10517900
2025-10-31,7400.0,7450.0,7275.0,7400.0,11495400
2025-11-03,7400.0,7425.0,7200.0,7200.0,7609300
2025-11-04,7200.0,7250.0,7050.0,7075.0,18602600
2025-11-05,7075.0,7150.0,7025.0,7125.0,10041400
2025-11-06,7125.0,7125.0,7025.0,7025.0,8261500
2025-11-07,7075.0,7150.0,7050.0,7125.0,4622900
2025-11-10,7150.0,7175.0,7100.0,7100.0,5129400
2025-11-11,7150.0,7150.0,7025.0,7050.0,4661800
2025-11-12,7050.0,7175.0,7050.0,7175.0,5851900
2025-11-13,7150.0,7250.0,7100.0,7150.0,8371600
2025-11-14,7150.0,7175.0,7100.0,7100.0,5161800
2025-11-17,7100.0,7150.0,7075.0,7100.0,4245000
2025-11-18,7100.0,7125.0,7000.0,7000.0,7331100
2025-11-19,7025.0,7050.0,7000.0,7025.0,5448800
2025-11-20,7025.0,7175.0,7025.0,7075.0,8110900
2025-11-21,7050.0,7125.0,7025.0,7125.0,7423400
2025-11-24,7150.0,7450.0,7100.0,7450.0,18591600
2025-11-25,7325.0,7350.0,7175.0,7250.0,7894800
2025-11-26,7250.0,7425.0,7225.0,7425.0,7662600
2025-11-27,7425.0,7425.0,7275.0,7375.0,4580000
2025-11-28,7350.0,7400.0,7300.0,7350.0,4591700
2025-12-01,7225.0,7425.0,7225.0,7350.0,4108900
2025-12-02,7375.0,7450.0,7200.0,7200.0,7221100
2025-12-03,7200.0,7275.0,7050.0,7050.0,9217900
2025-12-04,7050.0,7100.0,7025.0,7025.0,4479400
2025-12-05,7050.0,7125.0,7000.0,7100.0,8852600
2025-12-08,7150.0,7150.0,6975.0,6975.0,8844700
2025-12-09,6975.0,7000.0,6850.0,6850.0,12610800
2025-12-10,6900.0,6950.0,6900.0,6900.0,3688400
2025-12-11,6900.0,6950.0,6550.0,6575.0,35995900
2025-12-12,6650.0,6775.0,6625.0,6775.0,6481400
2025-12-15,6825.0,6850.0,6700.0,6775.0,6213700
2025-12-16,6800.0,6825.0,6750.0,6775.0,5528400
2025-12-17,6800.0,6875.0,6775.0,6775.0,6792100
2025-12-18,6900.0,6900.0,6775.0,6875.0,9005600
2025-12-19,6875.0,6925.0,6750.0,6750.0,12787800
2025-12-22,6775.0,6850.0,6775.0,6850.0,3858800
2025-12-23,6800.0,6825.0,6750.0,6800.0,2079500
2025-12-24,6775.0,6850.0,6775.0,6800.0,1566700
2025-12-29,6800.0,6875.0,6750.0,6775.0,3540900
2025-12-30,6800.0,6875.0,6775.0,6775.0,4210100
2026-01-02,6775.0,6800.0,6650.0,6675.0,7568100
2026-01-05,6675.0,6850.0,6625.0,6850.0,9359300
2026-01-06,6850.0,7000.0,6825.0,7000.0,12215300
2026-01-07,7000.0,7000.0,6700.0,6725.0,16067800
2026-01-08,6750.0,6775.0,6625.0,6625.0,25370300
2026-01-09,6625.0,6700.0,6575.0,6600.0,13134000
2026-01-12,6600.0,6675.0,6575.0,6600.0,11215000
2026-01-13,6600.0,6700.0,6600.0,6700.0,7063700
2026-01-14,6700.0,6750.0,6650.0,6725.0,9495000
2026-01-15,6700.0,6800.0,6700.0,6750.0,6184100
2026-01-19,6750.0,6825.0,6725.0,6825.0,10624000
2026-01-20,6775.0,6825.0,6700.0,6700.0,12443600
2026-01-21,6700.0,6750.0,6600.0,6700.0,11404500
2026-01-22,6700.0,6800.0,6700.0,6750.0,8856900
2026-01-23,6800.0,6825.0,6725.0,6825.0,7862000
2026-01-26,6825.0,6825.0,6750.0,6800.0,9878400
2026-01-27,6800.0,6800.0,6700.0,6700.0,17356900
2026-01-28,6750.0,6850.0,6625.0,6850.0,29694200
2026-01-29,6800.0,6850.0,6200.0,6775.0,38464300
2026-01-30,6775.0,6850.0,6750.0,6800.0,15374100
2026-02-02,6825.0,7025.0,6725.0,7025.0,17102800
