Date,Open,High,Low,Close,Volume
2025-08-25,1730.0,1740.0,1710.0,1720.0,22096900
2025-08-26,1720.0,1725.0,1685.0,1705.0,46899600
2025-08-27,1700.0,1705.0,1665.0,1665.0,57863200
2025-08-28,1670.0,1725.0,1670.0,1715.0,51571700
2025-08-29,1710.0,1720.0,1670.0,1710.0,50385800
2025-09-01,1700.0,1700.0,1640.0,1665.0,41944900
2025-09-02,1670.0,1705.0,1670.0,1700.0,17338800
2025-09-03,1705.0,1790.0,1705.0,1760.0,113454700
2025-09-04,1770.0,1775.0,1750.0,1770.0,48841200
2025-09-08,1770.0,1800.0,1725.0,1725.0,48013100
2025-09-09,1710.0,1730.0,1690.0,1725.0,47322200
2025-09-10,1725.0,1730.0,1705.0,1710.0,25998300
2025-09-11,1715.0,1770.0,1715.0,1750.0,40032400
2025-09-12,1770.0,1800.0,1760.0,1795.0,72938300
2025-09-15,1790.0,1790.0,1745.0,1770.0,39446800
2025-09-16,1770.0,1770.0,1730.0,1745.0,19024500
2025-09-17,1745.0,1765.0,1735.0,1760.0,24372200
2025-09-18,1770.0,1775.0,1750.0,1765.0,24671200
2025-09-19,1765.0,1765.0,1730.0,1745.0,41128100
2025-09-22,1745.0,1760.0,1715.0,1725.0,23445900
2025-09-23,1725.0,1740.0,1715.0,1725.0,28295400
2025-09-24,1725.0,1750.0,1715.0,1720.0,26571800
2025-09-25,1720.0,1720.0,1700.0,1715.0,23701800
2025-09-26,1715.0,1730.0,1700.0,1710.0,27997600
2025-09-29,1710.0,1720.0,1690.0,1695.0,23467200
2025-09-30,1700.0,1720.0,1670.0,1690.0,41575900
2025-10-01,1700.0,1700.0,1640.0,1670.0,40458900
2025-10-02,1680.0,1680.0,1630.0,1635.0,37127300
2025-10-03,1635.0,1670.0,1605.0,1605.0,55730700
2025-10-06,1615.0,1640.0,1610.0,1635.0,39941800
2025-10-07,1640.0,1650.0,1620.0,1625.0,35251000
2025-10-08,1625.0,1690.0,1610.0,1675.0,47934000
2025-10-09,1680.0,1720.0,1660.0,1705.0,59295400
2025-10-10,1720.0,1740.0,1705.0,1705.0,66364500
2025-10-13,1695.0,1700.0,1670.0,1670.0,26027200
2025-10-14,1670.0,1695.0,1650.0,1660.0,22887400
2025-10-15,1660.0,1660.0,1610.0,1615.0,43721900
2025-10-16,1620.0,1630.0,1610.0,1625.0,19285600
2025-10-17,1610.0,1625.0,1605.0,1620.0,26239900
2025-10-20,1635.0,1700.0,1625.0,1695.0,35352000
2025-10-21,1700.0,1730.0,1680.0,1710.0,41770900
2025-10-22,1720.0,1725.0,1665.0,1675.0,67874400
2025-10-23,1675.0,1775.0,1675.0,1770.0,122199100
2025-10-24,1780.0,1780.0,1725.0,1725.0,40235000
2025-10-27,1725.0,1745.0,1680.0,1700.0,51018500
2025-10-28,1710.0,1730.0,1700.0,1705.0,34329100
2025-10-29,1700.0,1740.0,1690.0,1730.0,32882200
2025-10-30,1735.0,1765.0,1720.0,1755.0,55126800
2025-10-31,1750.0,1770.0,1720.0,1740.0,64931200
2025-11-03,1740.0,1770.0,1735.0,1755.0,34118600
2025-11-04,1760.0,1770.0,1735.0,1740.0,27654400
2025-11-05,1730.0,1730.0,1700.0,1705.0,36438900
2025-11-06,1710.0,1735.0,1705.0,1725.0,29143000
2025-11-07,1730.0,1765.0,1725.0,1760.0,41713200
2025-11-10,1760.0,1785.0,1730.0,1730.0,37605500
2025-11-11,1735.0,1755.0,1735.0,1755.0,21122800
2025-11-12,1765.0,1775.0,1755.0,1770.0,21779000
2025-11-13,1790.0,1855.0,1730.0,1740.0,162452900
2025-11-14,1730.0,1745.0,1715.0,1730.0,27995600
2025-11-17,1745.0,1750.0,1720.0,1750.0,17883100
2025-11-18,1750.0,1750.0,1715.0,1730.0,28477900
2025-11-19,1730.0,1770.0,1730.0,1750.0,28953300
2025-11-20,1760.0,1770.0,1745.0,1750.0,13375400
2025-11-21,1735.0,1750.0,1720.0,1720.0,11718300
2025-11-24,1750.0,1750.0,1725.0,1735.0,13982600
2025-11-25,1765.0,1765.0,1730.0,1735.0,25117400
2025-11-26,1750.0,1760.0,1725.0,1755.0,28814700
2025-11-27,1760.0,1775.0,1740.0,1740.0,22519900
2025-11-28,1755.0,1805.0,1745.0,1805.0,72539900
2025-12-01,1870.0,1870.0,1805.0,1870.0,84343200
2025-12-02,1850.0,1855.0,1800.0,1830.0,38476800
2025-12-03,1825.0,1880.0,1815.0,1870.0,63283500
2025-12-04,1885.0,1885.0,1835.0,1850.0,19895300
2025-12-05,1850.0,1860.0,1820.0,1825.0,17631200
2025-12-08,1840.0,1850.0,1810.0,1830.0,21393700
2025-12-09,1830.0,1835.0,1800.0,1805.0,21483800
2025-12-10,1825.0,1860.0,1815.0,1855.0,31706500
2025-12-11,1860.0,1865.0,1800.0,1825.0,30982100
2025-12-12,1840.0,1840.0,1800.0,1830.0,20130900
2025-12-15,1835.0,1845.0,1800.0,1820.0,13147200
2025-12-16,1820.0,1840.0,1805.0,1810.0,20098600
2025-12-17,1815.0,1885.0,1810.0,1865.0,48848400
2025-12-18,1880.0,1880.0,1825.0,1840.0,30574100
2025-12-19,1850.0,1890.0,1840.0,1860.0,44274500
2025-12-22,1860.0,1915.0,1860.0,1905.0,42110500
2025-12-23,1910.0,1910.0,1865.0,1880.0,21267400
2025-12-24,1885.0,1925.0,1885.0,1890.0,25187600
2025-12-29,1900.0,1920.0,1885.0,1900.0,17037900
2025-12-30,1900.0,1920.0,1890.0,1910.0,26244200
2026-01-02,1915.0,1930.0,1910.0,1930.0,27636600
2026-01-05,1935.0,1960.0,1930.0,1955.0,32107000
2026-01-06,1955.0,1960.0,1875.0,1900.0,56607500
2026-01-07,1850.0,1970.0,1850.0,1945.0,55398900
2026-01-08,1965.0,2020.0,1960.0,1960.0,79475200
2026-01-09,1980.0,1995.0,1955.0,1975.0,23379900
2026-01-12,1975.0,1995.0,1930.0,1965.0,30511400
2026-01-13,1975.0,1990.0,1955.0,1980.0,24455600
2026-01-14,1995.0,2070.0,1995.0,2030.0,79691800
2026-01-15,2030.0,2030.0,1995.0,2020.0,32721200
2026-01-19,2050.0,2060.0,2000.0,2040.0,24114600
2026-01-20,2040.0,2100.0,2020.0,2080.0,46546600
2026-01-21,2080.0,2100.0,2040.0,2090.0,55138400
2026-01-22,2100.0,2210.0,2100.0,2160.0,93110000
2026-01-23,2160.0,2300.0,2140.0,2270.0,86989900
2026-01-26,2270.0,2310.0,2230.0,2260.0,49581000
2026-01-27,2260.0,2260.0,2120.0,2160.0,62735700
2026-01-28,2100.0,2200.0,2060.0,2120.0,76372900
2026-01-29,2130.0,2130.0,1845.0,2080.0,136964100
2026-01-30,2080.0,2160.0,2070.0,2120.0,72304800
2026-02-02,2170.0,2260.0,2140.0,2180.0,131625600
2026-02-03,2230.0,2230.0,2120.0,2160.0,54321900
2026-02-04,2170.0,2210.0,2150.0,2200.0,38052100
2026-02-05,2200.0,2230.0,2190.0,2200.0,29529900
2026-02-06,2170.0,2230.0,2120.0,2230.0,50045400
2026-02-09,2200.0,2230.0,2160.0,2220.0,47396200
2026-02-10,2240.0,2250.0,2200.0,2220.0,32413900
2026-02-11,2220.0,2250.0,2190.0,2230.0,24828700
2026-02-12,2250.0,2260.0,2220.0,2220.0,24789200
2026-02-13,2210.0,2220.0,2110.0,2130.0,55623500
2026-02-18,2150.0,2160.0,2120.0,2160.0,34315200
2026-02-19,2180.0,2210.0,2140.0,2180.0,32033700
2026-02-20,2180.0,2190.0,2150.0,2190.0,28861000
2026-02-23,2200.0,2280.0,2200.0,2270.0,57113300
2026-02-24,2270.0,2280.0,2220.0,2250.0,38507100
2026-02-25,2260.0,2340.0,2250.0,2290.0,62482800
2026-02-26,2310.0,2340.0,2270.0,2300.0,28090200
2026-02-27,2320.0,2390.0,2290.0,2390.0,71287900
2026-03-02,2450.0,2500.0,2390.0,2450.0,82931500
2026-03-03,2500.0,2520.0,2360.0,2400.0,69119700
2026-03-04,2400.0,2420.0,2280.0,2340.0,70501400
2026-03-05,2350.0,2430.0,2350.0,2400.0,53835200
2026-03-06,2400.0,2440.0,2320.0,2370.0,30108000
2026-03-09,2250.0,2270.0,2030.0,2050.0,131453600
2026-03-10,2050.0,2050.0,1885.0,1970.0,167238700
2026-03-11,1970.0,1995.0,1950.0,1955.0,75601200
2026-03-12,1955.0,2050.0,1930.0,2040.0,85440800
2026-03-13,2030.0,2030.0,1935.0,1940.0,55319400
2026-03-16,1940.0,1950.0,1885.0,1935.0,44209800
2026-03-17,1945.0,1995.0,1945.0,1995.0,56332600
2026-03-25,1970.0,1990.0,1940.0,1955.0,37441900
2026-03-26,1980.0,1995.0,1845.0,1865.0,98454400
2026-03-27,1865.0,1875.0,1825.0,1835.0,30907100
2026-03-30,1840.0,1905.0,1830.0,1895.0,46523100
2026-03-31,1895.0,1900.0,1830.0,1845.0,71011600
2026-04-01,1865.0,1890.0,1825.0,1840.0,51525200
2026-04-02,1850.0,1850.0,1790.0,1795.0,47987400
2026-04-06,1800.0,1815.0,1760.0,1800.0,34448800
2026-04-07,1800.0,1825.0,1755.0,1755.0,44205400
2026-04-08,1770.0,1845.0,1750.0,1830.0,70808800
2026-04-09,1830.0,1830.0,1780.0,1790.0,40513200
2026-04-10,1815.0,1830.0,1805.0,1820.0,21695100
2026-04-13,1830.0,1865.0,1825.0,1830.0,41613700
2026-04-14,1840.0,1865.0,1830.0,1845.0,25996900
2026-04-15,1845.0,1930.0,1845.0,1895.0,68013000
2026-04-16,1910.0,1910.0,1890.0,1905.0,32454200
2026-04-17,1915.0,1920.0,1905.0,1910.0,17245300
2026-04-20,1930.0,1930.0,1890.0,1910.0,29267000
2026-04-21,1910.0,1915.0,1875.0,1915.0,20806700
2026-04-22,1910.0,1970.0,1905.0,1945.0,38784200
2026-04-23,1945.0,1950.0,1905.0,1940.0,40279200
2026-04-24,1940.0,1955.0,1900.0,1930.0,40491700
2026-04-27,1950.0,1955.0,1880.0,1880.0,31726800
2026-04-28,1895.0,1935.0,1895.0,1905.0,14316400
2026-04-29,1915.0,1930.0,1885.0,1920.0,14468700
2026-04-30,1920.0,1940.0,1850.0,1940.0,49935600
2026-05-04,1940.0,1940.0,1885.0,1890.0,21532000
2026-05-05,1855.0,1895.0,1855.0,1870.0,15179300
